The Unarmed Skies
The Warm Manatee Tavern
The Hollow Deer Inn
The Spicy Cavern Pub
The Juicy Pistachio Tavern
The Ashamed Midget Bar
The Faded Orangutan Tavern
The Deserted Horses Tavern
The Weak Manatee
The Honorable Ice Inn
The Orange Ocean Inn
The American Gentlemen Pub
The Unique Dogs
The Next Wall Tavern
The Curious Sailboat Pub
The Upset Opossum
The Giant Bongo Inn
The Bumpy Lamb Pub
The Solid Wife Pub
The Far Grotto Bar
The Excellent Grotto Tavern
The Right Bee
The Sparkling Cliff
The Soft Trumpet
The Magnificent Didgeridoo
The French Barricade Inn
The Latin Coconut Bar
The Quack Skunks
The Assorted Tortoise Tavern
The Measly Orangutan Inn
The Cute Book
The Lazy Seals Tavern
The Impolite Shoe
The Rotten Coyote Inn
The Repulsive Deer
The Opposite Coin
The Jagged Lychee Bar
The Pointless Eagles Pub
The Misty Bar
The Hidden Cushion Bar
The Magnificent Peon Inn
The Plain Helm
The Attractive Shovel
The Blushing Mouse Pub
The Molten Shrub Tavern
The Steel Moon
The Vagabond Elf Tavern
The Unarmed Crabs
The Expensive Yew Pub
The Lucky Plate Pub
The Chilly Jaguar
The Ruthless Crystal Bar
The Foolish Dove Pub
The Discreet Night Bar
The Superb Fork
The Aggressive Princess Bar
The Automatic Crystal
The Tame Ants Pub
The Mysterious Lily Tavern
The Old Dahlia Bar
The Fiery Antelope Bar
The Fine Egg Tavern
The Slow Jaguar
The Copper Panda Pub
The Jagged Didgeridoo
The Successful Sugar Inn
The Fascinating Sailboat Tavern
The Dazzling Throne Inn
The Devilish Hand Pub
The Jazzy Bongo
The Icky Nutmeg Inn
The Busy Shark Pub
The Odd Inn
The Nifty Alligator Tavern
The Mean Soup
The Exclusive Librarian Bar
The Cold Doves Tavern
The Armed Barricade Inn
The Green Triangle Tavern
The Lazy Palm Pub
The Threatening Angel Bar
The Salty Loaf Pub
The Big Meerkat Inn
The Icky Desk Inn
The Intelligent Trumpet Inn
The Thin Fire
The Bumpy Curry
The Sour Cucumber
Ye Olde Hornets Inn
Ye Olde Fork Inn
The Orange Tiger
The Drab Wolf Pub
The Australian Crossbow Pub
The Terrible Pumpkin Pub
The Unique Peanut Inn
The Fragile Flea Bar
Ye Olde Hatchet
The Accidental Knife
The Far Prince Pub
The Anxious Bowl Bar
